OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0095001,02-09-2021,CUST000292,Sahil Gupta,P00007,Mechanical Keyboard,Sports & Outdoors,Zenith,5,128.91,0.15,43.83,10.62,602.32,Debit Card,Returned,Chicago,IL,United States,SELL01469
ORD0095002,30-03-2022,CUST016448,Aman Kumar,P00044,Power Bank 20000mAh,Electronics,KiddoFun,3,326.59,0.05,167.54,11.99,1110.31,Credit Card,Delivered,Seattle,WA,United States,SELL01011
ORD0095003,14-07-2022,CUST012513,Aman Mehta,P00005,Laptop Sleeve,Electronics,HomeEase,4,409.73,0.2,104.89,0.55,1416.58,Debit Card,Shipped,Indianapolis,IN,Australia,SELL00601
ORD0095004,29-01-2024,CUST008522,Vikas Sharma,P00036,Smart Light Bulb,Books,NexPro,5,85.78,0.0,21.44,9.42,459.76,Credit Card,Delivered,Dallas,TX,United States,SELL00791
ORD0095005,13-10-2021,CUST027803,Ritika Kapoor,P00019,LED Desk Lamp,Sports & Outdoors,CoreTech,3,439.79,0.05,62.67,2.86,1318.93,Credit Card,Delivered,San Francisco,CA,United States,SELL01186
ORD0095006,22-07-2020,CUST035969,Sahil Verma,P00013,Action Camera,Home & Kitchen,Apex,3,220.14,0.0,52.83,11.67,724.92,UPI,Delivered,New York,NY,United States,SELL00786
ORD0095007,08-02-2021,CUST021074,Karan Kumar,P00031,Kids Toy Car,Toys & Games,Apex,1,499.58,0.15,21.23,3.38,449.25,Credit Card,Delivered,Indianapolis,IN,United States,SELL01643
ORD0095008,09-03-2023,CUST038862,Aditya Reddy,P00010,Smartwatch,Clothing,NexPro,1,270.3,0.1,12.16,0.67,256.1,UPI,Delivered,Washington,DC,United States,SELL00111
ORD0095009,03-09-2023,CUST007897,Vivaan Patel,P00043,HDMI Cable 2m,Electronics,Apex,1,230.82,0.05,10.96,1.72,231.96,Cash on Delivery,Delivered,Columbus,OH,United States,SELL01037
ORD0095010,31-10-2023,CUST041602,Ritika Patel,P00004,USB-C Charger,Books,HomeEase,2,106.18,0.0,10.62,5.78,228.76,UPI,Delivered,New York,NY,United States,SELL01043
ORD0095011,07-08-2020,CUST027792,Sunita Gupta,P00050,Novel Bestseller,Electronics,Zenith,1,265.99,0.0,13.3,8.84,288.13,Net Banking,Delivered,Charlotte,NC,United States,SELL00476
ORD0095012,04-10-2023,CUST030417,Simran Verma,P00048,Wireless Charger,Clothing,HomeEase,4,68.11,0.15,27.79,1.33,260.69,Credit Card,Delivered,Fort Worth,TX,Canada,SELL00667
ORD0095013,17-12-2023,CUST049716,Aman Patel,P00014,Drone Mini,Books,ReadMore,5,475.25,0.05,112.87,11.14,2381.45,Credit Card,Delivered,Jacksonville,FL,United States,SELL00579
ORD0095014,10-06-2023,CUST029978,Simran Kumar,P00042,Projector Mini,Clothing,ReadMore,4,86.06,0.0,41.31,9.64,395.19,UPI,Returned,Houston,TX,United States,SELL00337
ORD0095015,26-10-2020,CUST004609,Priya Gupta,P00030,Dress Shirt,Sports & Outdoors,BrightLux,2,97.04,0.2,12.42,11.79,179.47,Debit Card,Shipped,Dallas,TX,Canada,SELL00773
ORD0095016,07-10-2022,CUST012952,Vivaan Gupta,P00015,Instant Pot,Home & Kitchen,FitLife,2,101.76,0.0,10.18,10.11,223.81,Credit Card,Shipped,Los Angeles,CA,United States,SELL01730
ORD0095017,01-03-2023,CUST025116,Aarav Verma,P00009,Portable SSD 1TB,Electronics,ReadMore,2,249.22,0.25,67.29,6.76,447.88,Amazon Pay,Delivered,New York,NY,India,SELL00219
ORD0095018,21-08-2024,CUST016614,Vivaan Kapoor,P00031,Kids Toy Car,Home & Kitchen,KiddoFun,1,259.32,0.05,19.71,11.38,277.44,Debit Card,Shipped,Philadelphia,PA,Australia,SELL00243
ORD0095019,08-07-2022,CUST024362,Simran Verma,P00017,Electric Kettle,Clothing,BrightLux,3,186.83,0.0,44.84,3.04,608.37,Credit Card,Delivered,Houston,TX,United States,SELL00107
ORD0095020,01-03-2021,CUST049586,Sahil Sharma,P00047,Memory Card 128GB,Toys & Games,ReadMore,3,82.82,0.0,19.88,2.56,270.9,Net Banking,Delivered,Dallas,TX,India,SELL01120
ORD0095021,26-09-2021,CUST013451,Aarav Singh,P00036,Smart Light Bulb,Toys & Games,CoreTech,4,415.1,0.1,74.72,10.93,1580.01,Credit Card,Pending,San Diego,CA,United States,SELL00902
